T: 2018-09-12T03:00:00Z | O: 0.0014863 | H: 0.0015012 | L: 0.0014827 | C: 0.0014937 | V: 36453.03 | MOM: 1.9999999999989644E-7
T: 2018-09-12T04:00:00Z | O: 0.0014941 | H: 0.0014991 | L: 0.001481 | C: 0.0014913 | V: 57425.56 | MOM: -2.0999999999998884E-6
T: 2018-09-12T05:00:00Z | O: 0.00149 | H: 0.0014974 | L: 0.0014736 | C: 0.0014829 | V: 67016.66 | MOM: -4.999999999999796E-6
T: 2018-09-12T06:00:00Z | O: 0.0014818 | H: 0.0014937 | L: 0.001478 | C: 0.0014822 | V: 21294.92 | MOM: 6.699999999999892E-6
T: 2018-09-12T07:00:00Z | O: 0.0014822 | H: 0.0014848 | L: 0.0014733 | C: 0.0014771 | V: 16368.88 | MOM: -1.299999999999869E-6
T: 2018-09-12T08:00:00Z | O: 0.0014748 | H: 0.0014795 | L: 0.00146 | C: 0.0014619 | V: 72798.74 | MOM: -3.910000000000003E-5
T: 2018-09-12T09:00:00Z | O: 0.001462 | H: 0.0014769 | L: 0.0014452 | C: 0.0014625 | V: 88654.39 | MOM: -2.289999999999996E-5
T: 2018-09-12T10:00:00Z | O: 0.0014625 | H: 0.0014698 | L: 0.0014441 | C: 0.0014609 | V: 57705.37 | MOM: -2.409999999999999E-5
T: 2018-09-12T11:00:00Z | O: 0.0014601 | H: 0.0014673 | L: 0.0014457 | C: 0.0014505 | V: 37791.08 | MOM: -2.8999999999999946E-5
T: 2018-09-12T12:00:00Z | O: 0.0014504 | H: 0.0014559 | L: 0.001444 | C: 0.0014487 | V: 24720.07 | MOM: -3.349999999999989E-5
T: 2018-09-12T13:00:00Z | O: 0.0014483 | H: 0.0014682 | L: 0.001443 | C: 0.0014489 | V: 44722.62 | MOM: -3.5700000000000055E-5
T: 2018-09-12T14:00:00Z | O: 0.0014483 | H: 0.00146 | L: 0.0014465 | C: 0.0014539 | V: 14156.8 | MOM: -3.720000000000004E-5
T: 2018-09-12T15:00:00Z | O: 0.0014516 | H: 0.0014535 | L: 0.0014445 | C: 0.0014463 | V: 16838.71 | MOM: -4.8700000000000045E-5
T: 2018-09-12T16:00:00Z | O: 0.0014495 | H: 0.00145 | L: 0.0014337 | C: 0.0014447 | V: 33733.43 | MOM: -4.0800000000000124E-5
T: 2018-09-12T17:00:00Z | O: 0.0014447 | H: 0.0014468 | L: 0.0014353 | C: 0.001439 | V: 17345.68 | MOM: -5.4699999999999974E-5
T: 2018-09-12T18:00:00Z | O: 0.0014393 | H: 0.0014589 | L: 0.0014383 | C: 0.0014431 | V: 48775.37 | MOM: -4.8200000000000196E-5
T: 2018-09-12T19:00:00Z | O: 0.0014431 | H: 0.0014605 | L: 0.00144 | C: 0.0014547 | V: 49635.14 | MOM: -2.8200000000000143E-5
T: 2018-09-12T20:00:00Z | O: 0.0014547 | H: 0.0014765 | L: 0.0014429 | C: 0.0014462 | V: 83625.66 | MOM: -3.600000000000001E-5
T: 2018-09-12T21:00:00Z | O: 0.0014462 | H: 0.0014503 | L: 0.001436 | C: 0.001449 | V: 20766.48 | MOM: -2.8100000000000087E-5
T: 2018-09-12T22:00:00Z | O: 0.001449 | H: 0.0014537 | L: 0.00143 | C: 0.0014419 | V: 64647.45 | MOM: -1.9999999999999836E-5
T: 2018-09-12T23:00:00Z | O: 0.0014421 | H: 0.0014495 | L: 0.0014373 | C: 0.0014447 | V: 17553.87 | MOM: -1.7800000000000107E-5
T: 2018-09-13T00:00:00Z | O: 0.0014447 | H: 0.0014561 | L: 0.0014429 | C: 0.0014512 | V: 18484.49 | MOM: -9.700000000000073E-6
T: 2018-09-13T01:00:00Z | O: 0.0014522 | H: 0.0014639 | L: 0.0014481 | C: 0.0014618 | V: 36023.34 | MOM: 1.1300000000000112E-5
T: 2018-09-13T02:00:00Z | O: 0.0014618 | H: 0.0014737 | L: 0.001457 | C: 0.0014683 | V: 29098.66 | MOM: 1.9600000000000043E-5
T: 2018-09-13T03:00:00Z | O: 0.0014678 | H: 0.0014707 | L: 0.00146 | C: 0.001462 | V: 21835.93 | MOM: 1.3100000000000047E-5
T: 2018-09-13T04:00:00Z | O: 0.001462 | H: 0.001468 | L: 0.0014609 | C: 0.0014641 | V: 19886.91 | MOM: 1.020000000000014E-5
T: 2018-09-13T05:00:00Z | O: 0.001464 | H: 0.0014698 | L: 0.0014577 | C: 0.0014648 | V: 30607.95 | MOM: 1.850000000000007E-5
T: 2018-09-13T06:00:00Z | O: 0.0014647 | H: 0.001472 | L: 0.0014552 | C: 0.0014581 | V: 37129.49 | MOM: 1.34E-5
T: 2018-09-13T07:00:00Z | O: 0.0014581 | H: 0.0014748 | L: 0.0014549 | C: 0.0014685 | V: 46673.04 | MOM: 2.9500000000000012E-5
T: 2018-09-13T08:00:00Z | O: 0.0014685 | H: 0.0014708 | L: 0.001462 | C: 0.0014647 | V: 22117.67 | MOM: 2.160000000000009E-5
T: 2018-09-13T09:00:00Z | O: 0.0014645 | H: 0.0014848 | L: 0.0014631 | C: 0.0014781 | V: 40720.57 | MOM: 2.3400000000000027E-5
T: 2018-09-13T10:00:00Z | O: 0.0014781 | H: 0.0014949 | L: 0.0014749 | C: 0.0014896 | V: 57117.27 | MOM: 4.340000000000008E-5
